Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
26:59.0,4577.636363,3972.848484,4315.939394,1067.393939,3907.424242,4022.30303,4060.939394,288.4848485,4330.878787,552.2424242,4477.696969,733.5757575,4199.515151,3292.848485,4279.363636,2814.787879,5041.272727,3235.151515,4310.787878,206.060606,4441.121212,4108.848484,4255.151515,1508.363636,4824.393939,1030.30303,4481.818181,3338.181818,42,42,?
26:59.0,4577.121212,3972.848484,4318.515151,1071.515151,3906.393939,4022.30303,4063.515151,288.4848485,4330.878787,552.2424242,4473.575757,733.5757575,4207.242424,3292.848485,4284.515151,2814.787879,5043.333333,3235.151515,4305.636363,206.060606,4444.212121,4108.848484,4254.636363,1508.363636,4823.363636,1030.30303,4482.848484,3338.181818,42,42,?
26:59.0,4575.060606,3972.848484,4316.454545,1071.515151,3911.030303,4022.30303,4065.060606,288.4848485,4330.878787,552.2424242,4474.60606,733.5757575,4211.363636,3292.848485,4291.727272,2814.787879,5054.151515,3235.151515,4307.181818,206.060606,4445.242424,4108.848484,4253.60606,1508.363636,4825.939393,1030.30303,4483.878787,3338.181818,42,42,?
26:59.0,4582.787878,3972.848484,4318.515151,1071.515151,3917.212121,4026.424242,4061.969697,288.4848485,4326.242424,552.2424242,4480.272727,733.5757575,4209.30303,3292.848485,4291.212121,2814.787879,5057.242424,3235.151515,4310.787878,206.060606,4443.181818,4108.848484,4254.636363,1508.363636,4829.030303,1030.30303,4486.454545,3338.181818,42,42,?
26:59.0,4580.727272,3972.848484,4317.484848,1071.515151,3920.818181,4026.424242,4063,292.6060606,4322.121212,552.2424242,4477.181818,733.5757575,4208.272727,3292.848485,4287.090909,2814.787879,5054.666666,3235.151515,4307.181818,206.060606,4442.666666,4108.848484,4255.666666,1508.363636,4825.939393,1030.30303,4488.515151,3338.181818,42,42,?
26:59.0,4572.484848,3972.848484,4315.939394,1071.515151,3917.727272,4026.424242,4064.030303,292.6060606,4321.60606,556.3636363,4468.939393,733.5757575,4207.242424,3292.848485,4287.090909,2814.787879,5050.545454,3235.151515,4296.363636,206.060606,4432.878787,4108.848484,4252.575757,1508.363636,4820.272727,1030.30303,4482.848484,3338.181818,42,42,?
26:59.0,4573,3972.848484,4318.515151,1071.515151,3917.212121,4026.424242,4059.909091,292.6060606,4322.121212,556.3636363,4475.121212,737.6969696,4209.818181,3292.848485,4291.212121,2814.787879,5044.878787,3235.151515,4286.575757,206.060606,4423.60606,4108.848484,4248.969697,1508.363636,4818.212121,1030.30303,4475.121212,3338.181818,42,42,?
26:59.0,4577.636363,3972.848484,4319.030303,1071.515151,3919.787878,4026.424242,4059.909091,292.6060606,4324.696969,556.3636363,4481.818181,737.6969696,4216,3280.484848,4294.818181,2814.787879,5046.424242,3235.151515,4284.515151,206.060606,4431.333333,4108.848484,4253.090909,1508.363636,4820.272727,1030.30303,4479.757575,3338.181818,42,42,?
26:59.0,4581.242424,3972.848484,4316.969697,1071.515151,3920.30303,4026.424242,4063,292.6060606,4325.212121,556.3636363,4477.696969,737.6969696,4216.515151,3280.484848,4298.939394,2802.424242,5054.666666,3235.151515,4286.575757,206.060606,4437,4108.848484,4257.212121,1508.363636,4822.848484,1030.30303,4485.939393,3338.181818,42,42,?
26:59.0,4578.666666,3972.848484,4314.393939,1071.515151,3920.30303,4026.424242,4055.787878,292.6060606,4322.121212,556.3636363,4477.696969,737.6969696,4214.454545,3280.484848,4302.030303,2802.424242,5053.636363,3231.030303,4283.484848,206.060606,4427.212121,4108.848484,4252.575757,1508.363636,4817.696969,1030.30303,4477.181818,3338.181818,42,42,?
