Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2017-08-01 19:36:44.971459,4555.99999954,0,4090.81818141,0,4338.09090866,0,3730.21212084,0,4465.8484844,0,4588.454545,0,4443.69696925,0,4558.0606056,0,5329.24242371,0,3702.90909054,0,4528.69696924,0,4232.48484806,0,4852.72727224,0,4509.12121167,0,42.0,42.0,?
2017-08-01 19:36:44.974175,4593.09090863,0,4108.84848444,0,3800.27272689,0,3722.48484811,0,4177.87878746,0,4358.18181775,0,4194.87878746,0,4175.30302989,0,4923.81818133,0,3991.39393899,0,4420.51515107,0,4205.18181776,0,4948.03030254,3214.54545422,4435.96969653,0,42.0,42.0,?
2017-08-01 19:36:44.977180,4599.78787833,0,4108.84848444,0,3812.12121174,0,3590.60606025,0,4178.39393898,0,4358.69696926,0,4211.36363594,0,4189.72727231,0,4928.45454496,0,3997.57575718,4191.27272685,4426.18181774,0,4207.75757534,0,4954.21212072,3214.54545422,4435.45454501,0,42.0,42.0,?
2017-08-01 19:36:44.980307,4594.63636318,0,4106.78787838,0,3811.09090871,0,3552.99999964,0,4182.5151511,0,4362.81818138,0,4233.51515109,0,4207.24242382,0,4956.78787829,0,4001.6969693,4191.27272685,4423.60606016,2295.51515129,4205.69696928,0,4951.63636314,3214.54545422,4435.45454501,0,42.0,42.0,?
2017-08-01 19:36:44.983282,4593.09090863,0,4110.9090905,0,3804.39393901,0,3645.21212085,0,4188.18181776,0,4364.36363593,0,4222.18181776,0,4189.21212079,0,4935.66666617,0,4002.72727233,4191.27272685,4418.96969653,2295.51515129,4209.8181814,1351.75757562,4950.0909086,3214.54545422,4438.03030259,0,42.0,42.0,?
2017-08-01 19:36:44.987064,4587.93939348,0,4106.78787838,0,3807.99999962,0,3710.12121175,0,4186.63636322,0,4357.15151472,0,4202.09090867,0,4171.69696928,0,4902.18181769,0,3999.12121172,4191.27272685,4411.75757532,2295.51515129,4208.27272685,1351.75757562,4943.3939389,3214.54545422,4431.33333289,0,42.0,42.0,?
2017-08-01 19:36:44.990198,4591.54545409,0,4106.78787838,0,3812.63636326,0,3632.33333297,0,4176.33333292,0,4354.06060563,0,4213.424242,0,4191.27272685,0,4948.54545405,0,3994.9999996,4191.27272685,4407.6363632,2295.51515129,4198.48484806,1351.75757562,4944.93939344,3214.54545422,4428.75757531,0,42.0,42.0,?
2017-08-01 19:36:44.993624,4596.18181772,0,4110.9090905,0,3816.75757538,0,3575.15151479,0,4170.15151473,0,4360.24242381,0,4224.75757534,0,4202.09090867,0,4980.48484799,0,4010.45454505,4191.27272685,4417.42424198,2295.51515129,4200.54545413,1351.75757562,4952.66666617,3214.54545422,4436.99999956,0,42.0,42.0,?
2017-08-01 19:36:44.996813,4586.90909045,0,4106.78787838,0,3820.8787875,0,3630.78787842,0,4170.15151473,0,4358.69696926,0,4207.75757534,0,4178.90909049,0,4920.72727224,0,4002.72727233,4191.27272685,4422.57575713,2295.51515129,4206.72727231,1351.75757562,4949.57575708,3214.54545422,4439.57575713,0,42.0,42.0,?
2017-08-01 19:36:45.005979,4588.96969651,0,4105.75757535,0,3817.78787841,0,3633.87878752,0,4165.5151511,0,4348.39393896,0,4191.27272685,0,4160.36363595,0,4900.12121163,0,3969.75757536,4191.27272685,4416.39393895,2295.51515129,4201.06060564,1351.75757562,4948.54545405,3214.54545422,4438.03030259,0,42.0,42.0,?
2017-08-01 19:36:45.011814,4592.0606056,0,4107.81818141,0,3819.84848447,0,3581.33333298,0,4159.33333292,0,4351.99999956,0,4201.57575716,0,4174.78787837,0,4960.90909041,0,3989.84848445,4191.27272685,4413.30302986,2295.51515129,4197.96969655,1351.75757562,4944.93939344,3214.54545422,4435.45454501,0,42.0,42.0,?
2017-08-01 19:36:45.016267,4591.03030257,0,4110.9090905,0,3817.78787841,0,3626.15151479,0,4170.66666625,0,4357.66666623,0,4208.78787837,0,4192.8181814,0,4978.42424193,0,4024.87878748,4191.27272685,4413.81818138,2295.51515129,4200.54545413,1351.75757562,4942.87878738,3214.54545422,4435.45454501,0,42.0,42.0,?
2017-08-01 19:36:45.022221,4588.96969651,0,4109.87878747,0,3807.99999962,0,3710.12121175,0,4181.48484807,0,4348.90909047,0,4189.21212079,0,4181.99999958,0,4916.0909086,0,4007.87878748,4191.27272685,4407.12121168,2295.51515129,4198.99999958,1351.75757562,4942.36363587,3214.54545422,4436.48484804,0,42.0,42.0,?
